checkpoint,dataset,sample_count,lpips_alex,dreamsim,psnr,fid
u25l100,recon,500,0.438449609041214,0.20059422528743745,13.189300086021424,33.832977294921875
u25l100,scand,500,0.448440941631794,0.3288751564025879,11.883181873321533,57.10227966308594
u25l100,tartan_drive,500,0.4668471012115479,0.2523865331411362,12.7345642786026,30.149444580078125
u25l100,huron,329,0.40353691605086744,0.22830793252469558,13.278380091067143,59.97802734375
u25l100,go_stanford,500,0.6567819046974183,0.4675638216733933,11.194555199623109,99.67465209960938
u50l100,recon,500,0.43321841129660604,0.19686050915718079,13.35459096622467,34.80546569824219
u50l100,scand,500,0.46406007212400435,0.3461244297027588,11.560893636703492,64.86767578125
u50l100,tartan_drive,500,0.4738001403212547,0.2591668906211853,12.599486464500428,33.010162353515625
u50l100,huron,329,0.4214300784115371,0.2467458168424009,13.095501682316279,65.49806213378906
u50l100,go_stanford,500,0.6619344041347504,0.4843809169530868,10.963098238945006,113.87507629394531
u75l100,recon,500,0.4325735368132591,0.19078477752208708,13.38178632068634,32.15226745605469
u75l100,scand,500,0.44897294783592223,0.32704877388477327,11.91978133392334,59.23091125488281
u75l100,tartan_drive,500,0.46394264060258866,0.2524060230255127,12.85169264793396,30.847763061523438
u75l100,huron,329,0.3987660608664834,0.22305471194189008,13.475305674648574,56.464080810546875
u75l100,go_stanford,500,0.6467275947332383,0.45959491515159606,11.450869701385498,99.156982421875
u25l50,recon,500,0.444049728512764,0.19705319809913635,13.08760857963562,32.178924560546875
u25l50,scand,500,0.4598704407811165,0.3342624571323395,11.538429324150085,58.8785400390625
u25l50,tartan_drive,500,0.47864419186115265,0.2527923811674118,12.315510622978211,29.996795654296875
u25l50,huron,329,0.4025347312533022,0.22977674750209218,13.453420647734204,59.81439208984375
u25l50,go_stanford,500,0.6485203874111175,0.46265864729881284,11.291388872146607,101.68740844726562
u25l0,recon,500,0.43322260254621503,0.19333176124095916,13.280581135749816,32.066986083984375
u25l0,scand,500,0.4483562768101692,0.32671821367740633,11.788524361610413,59.575836181640625
u25l0,tartan_drive,500,0.4671144518852234,0.25540203881263734,12.717626899719239,31.366912841796875
u25l0,huron,329,0.40852753926736607,0.23423301702574756,13.36419747303322,60.333984375
u25l0,go_stanford,500,0.6514244982004166,0.47076251745224,11.377391945838928,103.5623779296875
u100l100,recon,500,0.427015715777874,0.18840071427822114,13.463160482406616,31.926956176757812
u100l100,scand,500,0.4393242004811764,0.3170741844177246,12.109884112358094,57.664276123046875
u100l100,tartan_drive,500,0.4615371059775352,0.24360490226745604,12.89322205066681,30.027679443359375
u100l100,huron,329,0.41554648689585977,0.2443747036725192,13.13674937917831,61.06468200683594
u100l100,go_stanford,500,0.6455493779182434,0.45548999059200285,11.413995056152343,101.42034912109375
